ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumInjGas(E3m3).1,CumPrdOil(m3),Percentage_Change_Monthly_Injected_Steam
1994-05-01,99364.0,32603.4,0.0,2701.3,67751,19440,7546548.3,2701.3,3340890.4,1.7237884443316087
1992-11-01,92520.5,26403.7,0.0,0.0,63035,17280,5821992.0,0.0,2887831.6,0.8574732079806524
1996-08-01,105978.0,38631.7,0.0,2701.3,88591,19313,10748315.8,2701.3,4411458.1,2.503870755853055
1986-02-01,41566.3,20658.7,0.0,0.0,38592,3432,1214201.3,0.0,937980.7,8.289941663945488
1985-12-01,39166.5,20394.6,0.0,0.0,40608,3624,1127311.4,0.0,896252.0,27.51587172391339
2011-08-01,20142.5,17844.4,0.0,0.0,43747,2229,1504831.7,0.0,3301848.1,13.223721191680715
2011-09-01,15587.5,16043.0,0.0,0.0,43088,2016,1520419.2,0.0,3317891.1,22.613876132555543
2011-10-01,17656.8,15710.0,0.0,0.0,46427,2088,1538076.0,0.0,3333601.1,13.275380914194068
2011-11-01,19440.0,15088.5,0.0,0.0,46193,2016,1557516.0,0.0,3348689.6,10.099225227674324
2011-12-01,20883.7,15196.7,0.0,0.0,45453,2220,1578399.7,0.0,3363886.3,7.426440329218109
2012-01-01,20575.6,14225.3,0.0,0.0,44350,2232,1598975.3,0.0,3378111.6,1.4753132826079818
2012-02-01,16624.7,12434.1,0.0,0.0,39665,1800,1615600.0,0.0,3390545.7,19.201870176325343
2012-03-01,14237.8,12539.0,0.0,0.0,43209,1932,1629837.8,0.0,3403084.7,14.357552316733546
2012-04-01,13307.6,11409.7,0.0,0.0,42454,1908,1643145.4,0.0,3414494.4,6.533312730899432
2012-07-01,104268.3,14628.7,0.0,0.0,45407,17210,1869600.2,0.0,3448496.4,11.866976227209449
2011-07-01,17790.0,18044.2,0.0,0.0,43402,2160,1484689.2,0.0,3284003.7,17.182096630767706
2012-08-01,85730.3,26916.7,0.0,0.0,45073,14009,1955330.5,0.0,3475413.1,17.7791332552655
2012-10-01,98792.0,59277.2,0.0,0.0,47971,14301,2133784.6,0.0,3583431.7,24.013803301695532
2012-11-01,86410.5,64866.4,0.0,0.0,44167,13191,2220195.1,0.0,3648298.1,12.53289740059924
2012-12-01,108043.5,68756.0,0.0,0.0,46706,13961,2328238.6,0.0,3717054.1,25.035151978058213
2013-01-01,103456.4,66923.8,0.0,0.0,45809,13889,2431695.0,0.0,3783977.9,4.245604779556389
2013-02-01,98835.4,60173.3,0.0,0.0,39577,12571,2530530.4,0.0,3844151.2,4.466615888432224
2013-03-01,106391.4,62839.6,0.0,0.0,43214,13774,2636921.8,0.0,3906990.8,7.645034066741263
2013-04-01,107600.6,61323.9,0.0,0.0,41475,13298,2744522.4,0.0,3968314.7,1.1365580300663591
2014-05-01,96593.2,57651.0,0.0,475.1,39396,12860,4073515.2,475.1,4696885.1,8.313146883946265
2014-08-01,111588.5,56301.0,0.0,499.2,40429,12232,4383665.8,499.2,4868810.7,13.947207188808331
2014-12-01,142015.1,60876.8,0.0,515.0,42331,18400,4914986.1,515.0,5097430.8,6.303899516069267
2012-09-01,79662.1,48741.4,0.0,0.0,47880,13389,2034992.6,0.0,3524154.5,7.078244214705887
2015-01-01,141552.5,63064.5,0.0,515.0,43272,18550,5056538.6,515.0,5160495.3,0.3257400093370388
2011-06-01,15181.5,18652.7,0.0,0.0,43765,2088,1466899.2,0.0,3265959.5,14.372976570519691
2011-04-01,16856.6,17273.1,0.0,0.0,42166,2160,1433987.9,0.0,3227987.8,3.219213081246808
2009-06-01,13510.0,8048.9,0.0,0.0,36226,2160,1029283.8,0.0,2983692.0,21.03109656301145
2009-07-01,16815.3,8723.9,0.0,0.0,34815,2130,1046099.1,0.0,2992415.9,24.465581051073283
2009-08-01,19054.9,8724.7,0.0,0.0,35260,2232,1065154.0,0.0,3001140.6,13.31882273881526
2009-09-01,17630.9,8856.9,0.0,0.0,34181,2160,1082784.9,0.0,3009997.5,7.473143390938808
2009-10-01,19234.5,8265.3,0.0,0.0,35117,2088,1102019.4,0.0,3018262.8,9.095395016703623
2009-11-01,16814.5,9061.8,0.0,0.0,34973,2016,1118833.9,0.0,3027324.6,12.581559177519564
2009-12-01,16850.4,8749.6,0.0,0.0,33619,2088,1135684.3,0.0,3036074.2,0.2135062000059528
2010-01-01,18656.7,9353.8,0.0,0.0,35839,2088,1154341.0,0.0,3045428.0,10.719626833784355
2010-02-01,18007.0,8838.9,0.0,0.0,34284,2012,1172348.0,0.0,3054266.9,3.48239506450766
2010-03-01,19709.3,9950.5,0.0,0.0,38570,2160,1192057.3,0.0,3064217.4,9.453545843283171
2011-05-01,17729.8,19319.0,0.0,0.0,43929,2232,1451717.7,0.0,3247306.8,5.180166818931453
2010-04-01,16051.7,9609.0,0.0,0.0,37001,1800,1208109.0,0.0,3073826.4,18.557736702977778
2010-06-01,19591.8,11356.5,0.0,0.0,37779,1656,1247243.8,0.0,3096050.2,0.2497057770045607
2010-07-01,20446.4,11691.3,0.0,0.0,41188,1728,1267690.2,0.0,3107741.5,4.362029012137736
2010-08-01,20286.8,12013.1,0.0,0.0,42143,2013,1287977.0,0.0,3119754.6,0.7805775099773204
2010-09-01,19877.4,11616.4,0.0,0.0,41170,1656,1307854.4,0.0,3131371.0,2.018061005185623
2010-10-01,20052.0,11653.3,0.0,0.0,42052,1656,1327906.4,0.0,3143024.3,0.8783844969664001
2010-11-01,19424.1,11097.8,0.0,0.0,39613,1584,1347330.5,0.0,3154122.1,3.131358467983248
2010-12-01,19098.9,11714.0,0.0,0.0,40844,1944,1366429.4,0.0,3165836.1,1.674208843652969
2011-01-01,17300.1,12826.6,0.0,0.0,42608,1944,1383729.5,0.0,3178662.7,9.418343464806888
