Unnamed: 0,ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumPrdOil(m3),CalDlyOil(m3/d),CalInjGas(E3m3/d),CalInjSteam(m3/d),SOR,percent_change_SOR,is_interpolated,CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate
1630,2002-07-01,125726.2,35654.5,448.2,15458.6,91880,20664,19246183.5,7301764.8,1150.15,14.46,4055.68,323990.61145156994,5.256908916520131,False,7055856.7,0.3880550718328254,6.084310878823074,15.678988165484414
1631,2002-08-01,126783.8,37301.0,483.7,15942.3,93406,20668,19372967.3,7339065.8,1203.26,15.6,4089.8,317481.2370392215,-2.0091243950510096,False,7093157.7,0.399342654647453,6.13430423843623,15.361004308071486
1632,2002-09-01,112591.4,35152.1,616.6,16558.9,85676,18626,19485558.7,7374217.9,1171.74,20.55,3753.05,274418.3359287212,-13.563920032597188,False,7128309.8,0.4102910966898548,6.044851283152582,14.733079347617371
1633,2002-10-01,129874.3,38342.8,696.7,17255.6,92474,19464,19615433.0,7412560.7,1236.86,22.47,4189.49,313226.8905296431,14.142114253984197,False,7166652.6,0.4146333023336289,6.672539046444719,16.092626928156758
1634,2002-11-01,113584.8,39230.2,426.5,17682.1,91505,17364,19729017.8,7451790.9,1307.67,14.22,3786.16,264938.163047856,-15.416533171891622,False,7205882.8,0.4287219277635101,6.54139599170698,15.257899277116795
1635,2002-12-01,128938.1,39133.3,775.6,18457.7,95086,16346,19857955.9,7490924.2,1262.36,25.02,4159.29,313293.49113414914,18.25155256230815,False,7245016.1,0.411556906379488,7.88805212284351,19.166370435222635
1636,2003-01-01,130982.4,35799.9,721.6,19179.3,89891,16009,19988938.3,7526724.1,1154.84,23.28,4225.24,328887.480646594,4.977438074437246,False,7280816.0,0.398259002569779,8.181797738771941,20.543911590142667
1637,2003-02-01,126626.7,32786.1,560.0,19739.3,80061,14784,20115565.0,7559510.2,1170.93,20.0,4522.38,309212.1426061654,-5.982391911588369,False,7313602.1,0.4095139955783715,8.565117694805195,20.91532349879365
1638,2003-03-01,141737.5,36584.7,621.8,20361.1,86155,17136,20257302.5,7596094.9,1180.15,20.06,4572.18,333784.18608052004,7.946661883085038,False,7350186.8,0.4246381521676048,8.271329365079366,19.478535602271243
1639,2003-04-01,138932.8,38333.4,523.7,20884.8,86439,20136,20396235.3,7634428.3,1277.78,17.46,4631.09,313283.25426912296,-6.141972168343401,False,7388520.2,0.4434734321313296,6.899721891140246,15.558365825840434
1640,2003-05-01,113854.6,38101.4,570.6,21455.4,90564,18480,20510089.9,7672529.7,1229.08,18.41,3672.73,270623.33652831655,-13.617043732621536,False,7426621.600000001,0.4207124243628815,6.160963203463203,14.64411994200847
1641,2003-06-01,117195.9,36924.8,521.5,21976.9,87950,18351,20627285.8,7709454.5,1230.83,17.38,3906.53,279145.16544436256,3.1489630662928203,False,7463546.4,0.4198385446276294,6.386349517737453,15.211441635026024
1642,2003-07-01,124143.5,40665.4,516.4,22493.3,93550,18720,20751429.3,7750119.9,1311.79,16.66,4004.63,285589.8239043511,2.3087121891326667,False,7504211.800000001,0.4346916087653661,6.631597222222222,15.255866661557215
1643,2003-08-01,118825.3,44228.1,456.6,22949.9,94734,18840,20870254.6,7794348.0,1426.71,14.73,3833.07,254516.8336464827,-10.88028622065864,False,7548439.9,0.4668661726518462,6.307075371549894,13.50938607465407
1644,2003-09-01,113957.6,43597.7,523.8,23473.7,94711,17880,20984212.2,7837945.7,1453.26,17.46,3798.59,247559.8082834645,-2.7334244510841765,False,7592037.600000001,0.4603235104686889,6.373467561521253,13.845626861491306
1645,2003-10-01,142035.4,43808.8,564.5,24038.2,97072,18432,21126247.6,7881754.5,1413.19,18.21,4581.79,314723.5338288197,27.13030277857158,False,7635846.4,0.4513021262567991,7.705913628472222,17.074844500261488
1646,2003-11-01,143174.4,40204.8,656.4,24694.6,91842,19224,21269422.0,7921959.3,1340.16,21.88,4772.48,327061.02865329507,3.9201055842191135,False,7676051.2,0.4377605017312341,7.447690387016229,17.013162123038654
1647,2003-12-01,148615.3,40752.6,726.5,25421.1,89440,20208,21418037.3,7962711.9,1314.6,23.44,4794.04,326166.9790884508,-0.2733586353976913,False,7716803.8,0.4556417710196779,7.354280482977038,16.140487880465695
1648,2004-01-01,146614.6,39776.0,607.7,26028.8,87563,19512,21564651.9,8002487.9,1283.1,19.6,4729.5,322757.79917035403,-1.045225340598388,False,7756579.8,0.4542557929719173,7.514073390733907,16.541502622506865
1649,2004-02-01,133875.9,38565.6,508.3,26537.1,79023,18528,21698527.8,8041053.5,1329.85,17.53,4616.41,274318.95901269524,-15.007798504690015,False,7795145.399999999,0.4880300671956266,7.225599093264249,14.805643297317316
1650,2004-03-01,134151.3,41472.0,635.6,27172.7,89345,18384,21832679.1,8082525.5,1337.81,20.5,4327.46,289008.1958550347,5.354801904763584,False,7836617.399999999,0.4641781856847053,7.297176892950391,15.720637285413115
1651,2004-04-01,130226.1,38272.5,484.5,27657.2,82668,17752,21962905.2,8120798.0,1275.75,16.15,4340.87,281286.3344385656,-2.671848593644155,False,7874889.899999999,0.4629663231238206,7.33585511491663,15.84533204363258
1652,2004-05-01,112569.7,41890.5,549.3,28206.5,89777,16824,22075474.9,8162688.5,1351.31,17.72,3631.28,241252.0728303553,-14.232565434832376,False,7916780.399999999,0.4666061463403767,6.691018782691393,14.339757063145228
1653,2004-06-01,126857.5,38051.4,500.4,28706.9,80187,18528,22202332.4,8200739.9,1268.38,16.68,4228.58,267331.0930084044,10.809863671674002,False,7954831.8,0.474533278461596,6.846799438687392,14.428491634736853
1654,2004-07-01,121876.4,39770.8,387.1,29094.0,84480,19776,22324208.8,8240510.7,1282.93,12.49,3931.5,258886.3757329498,-3.158898271211996,False,7994602.6,0.4707717803030303,6.162843851132686,13.090937284230874
1655,2004-08-01,111766.3,41960.9,305.3,29399.3,89421,18450,22435975.1,8282471.6,1353.58,9.85,3605.36,238180.170403876,-7.998182704845358,False,8036563.5,0.4692510707775578,6.057794037940379,12.909494330833386
1656,2004-09-01,101519.8,40695.1,626.4,30025.7,86782,16476,22537494.9,8323166.7,1356.5,20.88,3383.99,216490.2232357213,-9.106529368660564,False,8077258.6,0.4689348021479108,6.161677591648458,13.139731927392647
1657,2004-10-01,105735.2,40010.6,617.6,30643.3,88750,16800,22643230.1,8363177.3,1290.66,19.92,3410.81,234537.8224770436,8.336450012189033,False,8117269.199999999,0.450823661971831,6.293761904761904,13.960584671252594
1658,2004-11-01,107414.5,37137.2,463.1,31106.4,84964,16126,22750644.6,8400314.5,1237.91,15.44,3580.48,245747.2716844566,4.779378050425165,False,8154406.399999999,0.4370933571865731,6.660951258836661,15.239195813249198
1659,2004-12-01,121265.9,37238.2,362.4,31468.8,83519,19360,22871910.5,8437552.7,1201.23,11.69,3911.8,271978.95446342736,10.674251884534725,False,8191644.6,0.4458650127515894,6.263734504132231,14.048499714020007
1660,2005-01-01,130655.7,37432.4,395.2,31864.0,85722,19548,23002566.2,8474985.1,1207.5,12.75,4214.7,299207.84976116946,10.011397886082962,False,8229077.0,0.4366720328503768,6.683839779005525,15.306315211846195
1661,2005-02-01,112475.7,35919.0,246.4,32110.4,81649,16440,23115041.9,8510904.1,1282.82,8.8,4016.99,255673.27679779503,-14.549943458409976,False,8264996.0,0.4399196560888682,6.841587591240876,15.551902481617702
1662,2005-03-01,137099.9,40133.4,213.3,32323.7,93069,18736,23252141.8,8551037.5,1294.63,6.88,4422.58,317933.4567492413,24.35146165106888,False,8305129.4,0.4312219965831802,7.317458368915457,16.969121303866423
1663,2005-04-01,132685.6,36792.5,235.5,32559.2,87755,18624,23384827.4,8587830.0,1226.42,7.85,4422.85,316472.78189848474,-0.4594278518817773,False,8341921.9,0.4192638596091391,7.124441580756014,16.992739577882556
1664,2005-05-01,143647.0,37166.4,242.8,32802.0,88243,19818,23528474.4,8624996.4,1198.92,7.83,4633.77,341056.4978313746,7.768034832384285,False,8379088.300000001,0.4211824167356051,7.248309617519427,17.209430711039186
1665,2005-06-01,130631.6,35357.4,152.2,32954.2,82152,18360,23659106.0,8660353.8,1178.58,5.07,4354.39,303519.12762816274,-11.006202914149164,False,8414445.700000001,0.4303900087642419,7.115010893246188,16.531542899137403
1666,2005-07-01,143879.1,38975.3,105.5,33059.7,88853,20343,23802985.1,8699329.1,1257.27,3.4,4641.26,328004.90752604854,8.067293843794587,False,8453421.000000002,0.4386492296264617,7.072658899867276,16.123723517969253
1667,2005-08-01,134491.6,38200.2,518.0,33577.7,86418,20016,23937476.7,8737529.3,1232.26,16.71,4338.44,304252.20519264304,-7.241569192533859,False,8491621.200000001,0.4420398528084426,6.719204636290968,15.200449899712382
1668,2005-09-01,142115.5,37539.8,705.8,34283.5,85114,20256,24079592.2,8775069.1,1251.33,23.53,4737.18,322218.5165344514,5.905071856564725,False,8529161.000000002,0.4410531757407712,7.0159705766192735,15.907312230176316
1669,2005-10-01,147726.8,40023.2,395.2,34678.7,87612,20832,24227319.0,8815092.3,1291.07,12.75,4765.38,323378.4505386875,0.3599836585158167,False,8569184.200000001,0.4568232662192393,7.091340245775729,15.523159108039918
1670,2005-11-01,142450.7,39711.7,608.8,35287.5,89029,20160,24369769.7,8854804.0,1323.72,20.29,4748.36,319357.8560046536,-1.2433093569891085,False,8608895.9,0.446053533118422,7.066006944444445,15.841163492294324
1671,2005-12-01,146467.3,40738.5,529.3,35816.8,83863,20688,24516237.0,8895542.5,1314.15,17.07,4724.75,301512.99581231514,-5.587731711249477,False,8649634.4,0.4857744178004602,7.079819218870843,14.57429407445452
1672,2006-01-01,141703.9,40173.6,541.0,36357.8,92031,20352,24657940.9,8935716.1,1295.92,17.45,4571.09,324619.9399829739,7.663664416323312,False,8689808.0,0.4365224761221762,6.962652319182389,15.950272208282914
1673,2006-02-01,129513.1,36269.5,249.7,36607.5,78435,18144,24787454.0,8971985.6,1295.34,8.92,4625.47,280079.9569472973,-13.720655310949992,False,8726077.5,0.4624147383183528,7.138067680776015,15.436505563673794
1674,2006-03-01,136065.0,38133.0,244.5,36852.0,84304,20088,24923519.0,9010118.6,1230.1,7.89,4389.19,300810.9448509165,7.4018105863677075,False,8764210.5,0.4523272917062061,6.773446833930705,14.97465874407191
1675,2006-04-01,127774.9,35306.6,295.8,37147.8,115095,19392,25051293.9,9045425.2,1176.89,9.86,4259.16,416529.8305557601,38.46897451227864,False,8799517.1,0.3067605021938399,6.589052186468646,21.47946733476485
1676,2006-05-01,120139.3,37616.2,313.8,37461.6,124861,19405,25171433.2,9083041.4,1213.43,10.12,3875.46,398783.3204124819,-4.260561631228121,False,8837133.299999999,0.3012646062421412,6.191151765009018,20.55054472622942
1677,2006-06-01,111738.3,36528.7,307.4,37769.0,115284,17064,25283171.5,9119570.1,1217.62,10.25,3724.61,352644.309192498,-11.56994509506064,False,8873661.999999998,0.3168583671628326,6.548189170182841,20.66598155136533
1678,2006-07-01,124218.95,38091.2,297.8,38066.8,97673,10320,25334388.5,9158923.4,1269.705,9.61,4140.63,127118.13344751264,0.6671814231438713,True,8911753.199999997,0.3899869974302007,12.036719961240312,30.86441353315792
1679,2006-09-01,136699.6,39653.7,262.2,38601.7,87139,17596,25589776.2,9239320.2,1321.79,8.74,4556.65,300397.351177822,12.904307941348382,False,8951406.899999997,0.4550626011315254,7.768788360991135,17.07191129676188
1680,2006-10-01,137994.3,36519.1,310.4,38912.1,89089,18700,25727770.5,9275839.3,1178.04,10.01,4451.43,336639.5719691887,12.06476044121738,False,8987925.999999996,0.4099170492428919,7.379374331550801,18.00211614808496
