,ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumPrdOil(m3),CalDlyOil(m3/d),CalInjGas(E3m3/d),CalInjSteam(m3/d),SOR,percent_change_SOR,is_interpolated,CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate
1349,2018-10-01,55681.6,16288.2,0.0,0.0,7962,7349,3798639.6,1568587.8,525.43,0.0,1796.18,27218.28680885549,26.845644928348516,False,1338492.0000000002,2.045742275810098,7.57675874268608,3.703672174289766
1350,2018-11-01,52116.3,14510.6,0.0,0.0,8132,8089,3850755.9,1583098.4,483.69,0.0,1737.21,29206.907474535856,7.30619336788445,False,1353002.6000000003,1.7843826856861782,6.442860674990729,3.6106944584665417
1361,2019-11-01,50366.0,11754.9,0.0,0.0,6416,6086,4422822.0,1744856.7,391.83,0.0,1678.87,27490.51510433947,-3.345800853305203,False,1500922.8,1.832122817955112,8.275714755175814,4.517008725655516
1363,2020-01-01,50807.3,10481.6,0.0,0.0,6484,5936,4522712.4,1767086.5,338.12,0.0,1638.95,31429.79442069913,12.348025064899891,False,1523152.6,1.616533004318322,8.559181266846362,5.294776688123169
1378,2021-04-01,51699.4,20521.8,0.0,0.0,5017,5040,5178951.3,2003204.5,684.06,0.0,1723.31,12639.041887163896,2.7626370922933186,False,1761319.7,4.0904524616304565,10.25781746031746,2.5077464061833123
1382,2021-08-01,54129.7,20397.0,0.0,0.0,4968,5083,5369398.3,2079354.1,657.97,0.0,1746.12,13184.112840123546,3.3224361115410828,False,1833398.7,4.105676328502415,10.649163879598662,2.59376605156867
1383,2021-09-01,52778.0,19112.3,0.0,0.0,4785,4308,5422176.3,2098466.4,637.08,0.0,1759.27,13213.62316414037,0.2238324593750063,False,1852511.0,3.994211076280042,12.251160631383472,3.0672291467363904
1384,2021-10-01,52929.3,20428.1,0.0,0.0,5208,4849,5475105.6,2118894.5,658.97,0.0,1707.4,13493.951684199708,2.121511386976005,False,1872939.1000000003,3.92244623655914,10.915508352237577,2.7828318589811727
1385,2021-11-01,50682.3,19281.7,0.0,0.0,5248,5040,5525787.9,2138176.2,642.72,0.0,1689.41,13794.463683181462,2.227012560995223,False,1892220.8000000005,3.674104420731708,10.056011904761906,2.7369967625360045
1386,2021-12-01,51775.1,20290.7,0.0,0.0,5154,5201,5577563.0,2158466.9,654.54,0.0,1670.16,13151.289280310684,-4.662554613521886,False,1912511.5,3.936883973612728,9.95483560853682,2.52860782163251
1387,2022-01-01,51200.6,20138.0,0.0,0.0,5204,5187,5628763.6,2178604.9,649.61,0.0,1651.63,13231.101519515343,0.6068776794694308,False,1932649.5,3.869715603382014,9.870946597262389,2.5508196490293704
1389,2022-03-01,51679.6,17407.5,0.0,0.0,4895,5019,5726973.7,2211736.2,561.53,0.0,1667.08,14532.336176935229,11.457868864538522,False,1965780.8000000005,3.556179775280899,10.296792189679218,2.895464470399528
1393,2022-07-01,53878.1,15714.1,0.0,0.0,5040,4464,5918879.7,2272010.7,506.91,0.0,1738.0,17280.38029540349,13.176199192523464,False,2023130.3500000003,3.117876984126984,12.069466845878136,3.8710529335581296
1394,2022-08-01,51513.7,15562.0,0.0,0.0,5087,4404,5970393.4,2287572.7,502.0,0.0,1661.73,16839.107563295205,-2.553605444815721,False,2038692.3500000003,3.059170434440732,11.697025431425976,3.823593906288648
1397,2022-11-01,53033.8,12144.066666666666,0.0,0.0,7115,5489,6120924.1,2325373.0,396.5266666666666,0.0,1727.49,30361.7325100772,10.306618880616517,True,2076919.0500000005,1.706825954556102,9.661832756421934,5.660701801862808
1398,2022-12-01,56225.6,11545.9,0.0,0.0,7219,6569,6177149.7,2336918.9,372.45,0.0,1813.73,35154.69616054183,15.786199449829908,False,2088464.95,1.5993766449646765,8.55923275993302,5.351605443833436
1440,1986-08-01,51059.1,28587.0,0.0,0.0,49056,5088,1455336.7,1092440.6,922.16,0.0,1647.07,87618.68015531535,16.969077183673754,False,860416.8499999999,0.5827421722113503,10.035200471698111,17.220652546249088
1456,1987-12-01,56878.5,25079.0,0.0,0.0,48840,6024,2108657.9,1449315.7,809.0,0.0,1834.79,110767.81131624068,38.54186513861264,False,1223636.15,0.5134930384930385,9.441982071713149,18.387750882510076
1458,1988-02-01,51664.3,24519.25,0.0,0.0,48072,6144,2205580.1,1496879.7,790.9449999999999,0.0,1666.59,115485.02937761064,-7.382971108482902,True,1272640.6,0.5100526293892494,8.408902994791667,16.486343781544093
